study_accession	secondary_study_accession	run_accession	experiment_accession	sample_accession	secondary_sample_accession	experiment_alias	library_name	sample_alias	sample_title	library_layout	library_strategy	library_source	library_selection	instrument_model	read_count	base_count	fastq_ftp	fastq_md5	fastq_bytes	sample_id	assay	mapping_evidence	fastq_https	fastq_file_count	fastq_total_bytes	source_url	retrieved_utc	source_report_sha256
PRJNA451237	SRP142554	SRR7062125	SRX3993086	SAMN08965226	SRS3217376	mRNA_F6-O	mRNA_F6-O	M1-OA, M1-OB, M2-OA, M2-OB, M3-OA, M3-OB, M2-EA, M2-EB	Model organism or animal sample from Ovis aries	PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2000	58126166	11741485532	ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/005/SRR7062125/SRR7062125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/005/SRR7062125/SRR7062125_2.fastq.gz	3199396b34c15f11fa0993e513d27912;5bcd5670392af1cc26c1750238319d6f	5038230114;5091983897	F6-O	mRNA	ENA_alias_and_library_agree_with_paper_sample_label	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/005/SRR7062125/SRR7062125_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/005/SRR7062125/SRR7062125_2.fastq.gz	2	10130214011	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP142554&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Cexperiment_alias%2Clibrary_name%2Csample_alias%2Csample_title%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_model%2Cread_count%2Cbase_count%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv&download=false	2026-09-24T01:56:06+00:00	1b475aba56f0fd3545d49ca2f0dda94766a2ef8aee15343d799c914f47948aa2
PRJNA451237	SRP142554	SRR7062126	SRX3993085	SAMN08965226	SRS3217376	mRNA_F2-E	mRNA_F2-E	M1-OA, M1-OB, M2-OA, M2-OB, M3-OA, M3-OB, M2-EA, M2-EB	Model organism or animal sample from Ovis aries	PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2000	53126663	10731585926	ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/006/SRR7062126/SRR7062126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/006/SRR7062126/SRR7062126_2.fastq.gz	84080e69d681468f45dc41f8625e79e4;3f96ff2b14b5cf12d3401898afc9a4c9	3203019305;3196238272	F2-E	mRNA	ENA_alias_and_library_agree_with_paper_sample_label	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/006/SRR7062126/SRR7062126_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/006/SRR7062126/SRR7062126_2.fastq.gz	2	6399257577	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP142554&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Cexperiment_alias%2Clibrary_name%2Csample_alias%2Csample_title%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_model%2Cread_count%2Cbase_count%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv&download=false	2026-09-24T01:56:06+00:00	1b475aba56f0fd3545d49ca2f0dda94766a2ef8aee15343d799c914f47948aa2
PRJNA451237	SRP142554	SRR7062127	SRX3993084	SAMN08965226	SRS3217376	mRNA_F4-O	mRNA_F4-O	M1-OA, M1-OB, M2-OA, M2-OB, M3-OA, M3-OB, M2-EA, M2-EB	Model organism or animal sample from Ovis aries	PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2000	43797554	8847105908	ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/007/SRR7062127/SRR7062127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/007/SRR7062127/SRR7062127_2.fastq.gz	3f8594246a961a4b0e83cbf4f83da79d;8892f09b4d7956e40a2e68f90f122aeb	3960425083;3964872404	F4-O	mRNA	ENA_alias_and_library_agree_with_paper_sample_label	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/007/SRR7062127/SRR7062127_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/007/SRR7062127/SRR7062127_2.fastq.gz	2	7925297487	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP142554&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Cexperiment_alias%2Clibrary_name%2Csample_alias%2Csample_title%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_model%2Cread_count%2Cbase_count%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv&download=false	2026-09-24T01:56:06+00:00	1b475aba56f0fd3545d49ca2f0dda94766a2ef8aee15343d799c914f47948aa2
PRJNA451237	SRP142554	SRR7062128	SRX3993083	SAMN08965226	SRS3217376	mRNA_F5-O	mRNA_F5-O	M1-OA, M1-OB, M2-OA, M2-OB, M3-OA, M3-OB, M2-EA, M2-EB	Model organism or animal sample from Ovis aries	PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2000	71412011	14425226222	ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/008/SRR7062128/SRR7062128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/008/SRR7062128/SRR7062128_2.fastq.gz	cd7a7d225bade843b003af55200069f0;afba07ed4905840483c34369504d5452	6182513770;6260315281	F5-O	mRNA	ENA_alias_and_library_agree_with_paper_sample_label	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/008/SRR7062128/SRR7062128_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/008/SRR7062128/SRR7062128_2.fastq.gz	2	12442829051	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP142554&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Cexperiment_alias%2Clibrary_name%2Csample_alias%2Csample_title%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_model%2Cread_count%2Cbase_count%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv&download=false	2026-09-24T01:56:06+00:00	1b475aba56f0fd3545d49ca2f0dda94766a2ef8aee15343d799c914f47948aa2
PRJNA451237	SRP142554	SRR7062129	SRX3993082	SAMN08965226	SRS3217376	mRNA_F2-O	mRNA_F2-O	M1-OA, M1-OB, M2-OA, M2-OB, M3-OA, M3-OB, M2-EA, M2-EB	Model organism or animal sample from Ovis aries	PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2000	64219474	12972333748	ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/009/SRR7062129/SRR7062129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/009/SRR7062129/SRR7062129_2.fastq.gz	84d618c724c1bd6ae4506ed97c3dd3e1;a5bf094e9659f18d82ce93d0ccbee105	5410933967;5494696001	F2-O	mRNA	ENA_alias_and_library_agree_with_paper_sample_label	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/009/SRR7062129/SRR7062129_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/009/SRR7062129/SRR7062129_2.fastq.gz	2	10905629968	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP142554&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Cexperiment_alias%2Clibrary_name%2Csample_alias%2Csample_title%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_model%2Cread_count%2Cbase_count%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv&download=false	2026-09-24T01:56:06+00:00	1b475aba56f0fd3545d49ca2f0dda94766a2ef8aee15343d799c914f47948aa2
PRJNA451237	SRP142554	SRR7062130	SRX3993081	SAMN08965226	SRS3217376	mRNA_F3-O	mRNA_F3-O	M1-OA, M1-OB, M2-OA, M2-OB, M3-OA, M3-OB, M2-EA, M2-EB	Model organism or animal sample from Ovis aries	PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2000	54912568	11092338736	ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/000/SRR7062130/SRR7062130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/000/SRR7062130/SRR7062130_2.fastq.gz	d511db0db5483df474bec70feb94fd71;7d2d28579eefc2616dbfc7233a4cc803	4751732723;4771708096	F3-O	mRNA	ENA_alias_and_library_agree_with_paper_sample_label	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/000/SRR7062130/SRR7062130_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/000/SRR7062130/SRR7062130_2.fastq.gz	2	9523440819	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP142554&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Cexperiment_alias%2Clibrary_name%2Csample_alias%2Csample_title%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_model%2Cread_count%2Cbase_count%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv&download=false	2026-09-24T01:56:06+00:00	1b475aba56f0fd3545d49ca2f0dda94766a2ef8aee15343d799c914f47948aa2
PRJNA451237	SRP142554	SRR7062131	SRX3993080	SAMN08965226	SRS3217376	mRNA_M2-EB	mRNA_M2-EB	M1-OA, M1-OB, M2-OA, M2-OB, M3-OA, M3-OB, M2-EA, M2-EB	Model organism or animal sample from Ovis aries	PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2000	53603017	10827809434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/001/SRR7062131/SRR7062131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/001/SRR7062131/SRR7062131_2.fastq.gz	4e7454a1d294f8610a111f8ac40aa583;d0b07d4e64980723caa46bf9f2030201	3204989089;3201333546	M2-EB	mRNA	ENA_alias_and_library_agree_with_paper_sample_label	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/001/SRR7062131/SRR7062131_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/001/SRR7062131/SRR7062131_2.fastq.gz	2	6406322635	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP142554&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Cexperiment_alias%2Clibrary_name%2Csample_alias%2Csample_title%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_model%2Cread_count%2Cbase_count%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv&download=false	2026-09-24T01:56:06+00:00	1b475aba56f0fd3545d49ca2f0dda94766a2ef8aee15343d799c914f47948aa2
PRJNA451237	SRP142554	SRR7062132	SRX3993079	SAMN08965226	SRS3217376	mRNA_F1-O	mRNA_F1-O	M1-OA, M1-OB, M2-OA, M2-OB, M3-OA, M3-OB, M2-EA, M2-EB	Model organism or animal sample from Ovis aries	PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2000	70869882	14315716164	ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/002/SRR7062132/SRR7062132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/002/SRR7062132/SRR7062132_2.fastq.gz	517d65dd7c2551f80ef99d4b620596f8;6129fdee20fbd5024570a91b1e20791b	6124893398;6025510330	F1-O	mRNA	ENA_alias_and_library_agree_with_paper_sample_label	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/002/SRR7062132/SRR7062132_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/002/SRR7062132/SRR7062132_2.fastq.gz	2	12150403728	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP142554&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Cexperiment_alias%2Clibrary_name%2Csample_alias%2Csample_title%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_model%2Cread_count%2Cbase_count%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv&download=false	2026-09-24T01:56:06+00:00	1b475aba56f0fd3545d49ca2f0dda94766a2ef8aee15343d799c914f47948aa2
PRJNA451237	SRP142554	SRR7062133	SRX3993078	SAMN08965226	SRS3217376	mRNA_M3-OB	mRNA_M3-OB	M1-OA, M1-OB, M2-OA, M2-OB, M3-OA, M3-OB, M2-EA, M2-EB	Model organism or animal sample from Ovis aries	PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2000	119378794	24114516388	ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/003/SRR7062133/SRR7062133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/003/SRR7062133/SRR7062133_2.fastq.gz	12d06db6d8ab2fe98b2d6c790bda8e3b;72f943678c5d6a38848cae3381e11c5e	7204552364;7215678720	M3-OB	mRNA	ENA_alias_and_library_agree_with_paper_sample_label	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/003/SRR7062133/SRR7062133_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/003/SRR7062133/SRR7062133_2.fastq.gz	2	14420231084	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP142554&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Cexperiment_alias%2Clibrary_name%2Csample_alias%2Csample_title%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_model%2Cread_count%2Cbase_count%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv&download=false	2026-09-24T01:56:06+00:00	1b475aba56f0fd3545d49ca2f0dda94766a2ef8aee15343d799c914f47948aa2
PRJNA451237	SRP142554	SRR7062134	SRX3993077	SAMN08965226	SRS3217376	mRNA_M2-EA	mRNA_M2-EA	M1-OA, M1-OB, M2-OA, M2-OB, M3-OA, M3-OB, M2-EA, M2-EB	Model organism or animal sample from Ovis aries	PAIRED	RNA-Seq	TRANSCRIPTOMIC	PCR	Illumina HiSeq 2000	46427453	9378345506	ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/004/SRR7062134/SRR7062134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/004/SRR7062134/SRR7062134_2.fastq.gz	18aca797ccb23a4bf7e0cded56f9f886;11a804ea4510e2444205a63680094b6d	2814908731;2799479250	M2-EA	mRNA	ENA_alias_and_library_agree_with_paper_sample_label	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/004/SRR7062134/SRR7062134_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR706/004/SRR7062134/SRR7062134_2.fastq.gz	2	5614387981	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRP142554&result=read_run&fields=study_accession%2Csecondary_study_accession%2Crun_accession%2Cexperiment_accession%2Csample_accession%2Csecondary_sample_accession%2Cexperiment_alias%2Clibrary_name%2Csample_alias%2Csample_title%2Clibrary_layout%2Clibrary_strategy%2Clibrary_source%2Clibrary_selection%2Cinstrument_model%2Cread_count%2Cbase_count%2Cfastq_ftp%2Cfastq_md5%2Cfastq_bytes&format=tsv&download=false	2026-09-24T01:56:06+00:00	1b475aba56f0fd3545d49ca2f0dda94766a2ef8aee15343d799c914f47948aa2
